[Machine NO : PUA162,Machine ID: DICER-1]
<Software Version : 2.35>

2025/07/01 09:31:33	CUC	RUN\FR5084,392,6803,59,2056,30,OK,1270,76,0,A
2025/07/01 09:31:21	ST1	N,SDC240,0,2260152,1374642,13926,13922,-7402900,0,30000,OK
2025/07/01 09:31:21	STD1	N,21331050,21327800,21325200
2025/07/01 09:31:21	VOL1	5091,5089,5060,3053,18
2025/07/01 09:30:42	CUTCH	1,54254407,54254404
2025/07/01 09:30:27	WAIT	3
2025/07/01 09:30:18	MANU	AlarmClr
2025/07/01 09:30:18	MANU	AlarmClr
2025/07/01 09:30:17	MANU	AlarmClr
2025/07/01 09:30:17	MANU	AlarmClr
2025/07/01 09:30:17	MANU	AlarmClr
2025/07/01 09:30:17	MANU	AlarmClr
2025/07/01 09:30:17	MANU	AlarmClr
2025/07/01 09:30:17	MANU	AlarmClr
2025/07/01 09:30:16	MANU	AlarmClr
2025/07/01 09:30:16	MANU	AlarmClr
2025/07/01 09:30:16	MANU	AlarmClr
2025/07/01 09:30:16	MANU	AlarmClr
2025/07/01 09:30:12	CUTCH	1,54254407,54254404
2025/07/01 09:30:07	CUTCH	4,144240985,144240982
2025/07/01 09:29:59	ST2	N,SDC240,0,1924002,1379619,12317,13703,-7463250,0,30000,OK
2025/07/01 09:29:58	STD2	N,21174950,21168550,21166900
2025/07/01 09:29:58	VOL2	4811,4805,4757,2883,32
2025/07/01 09:29:35	STD2	N,9681700,0,0
2025/07/01 09:29:35	VOL2	5266,0,0,0,0
2025/07/01 09:29:10	WAIT	83
2025/07/01 09:29:09	HA2	539676,539680
2025/07/01 09:27:53	MANU	AlarmClr
2025/07/01 09:27:52	MANU	AlarmClr
2025/07/01 09:27:38	CUTCH	3,144262693,144265540
2025/07/01 09:27:19	CUTCH	2,144260273,144260272
2025/07/01 09:27:01	WAIT	10
2025/07/01 09:27:00	HA1	-40461,-40463
2025/07/01 09:26:44	MANU	AlarmClr
2025/07/01 09:26:44	MANU	AlarmClr
2025/07/01 09:26:44	MANU	AlarmClr
2025/07/01 09:26:42	WAIT	88
2025/07/01 09:26:40	HA1	-40463,-40455
2025/07/01 09:25:06	CUTCH	2,144241151,144242763
2025/07/01 09:25:02	CUTCH	4,144240985,144240982
2025/07/01 09:25:01	ALC	RUN\FR5084,337,96,96 CH5=0,95 CH6=0,95 CH7=0,94 CH8=0,OK
2025/07/01 09:24:27	PRO	RUN\FR5084,FR5084.FS.Q.T.0.W7,3,60188,50002,0
2025/07/01 09:24:22	FAS
2025/07/01 09:24:14	MANU	AlarmClr
2025/07/01 09:24:14	MANU	AlarmClr
2025/07/01 09:24:13	FAE	START ERROR,0,0,0
2025/07/01 09:24:11	FAS
2025/07/01 09:24:04	MANU	AlarmClr
2025/07/01 09:24:04	MANU	AlarmClr
