[Machine NO : PUA337,Machine ID: DICER-1]
<Software Version : 2.35>

2025/07/01 09:57:52	CUTCH	3,146300597,146302549
2025/07/01 09:57:40	CUTCH	2,146299950,146299942
2025/07/01 09:57:36	ST2	N,SDC180,0,1385852,3017620,27747,14981,-6852550,0,30000,OK
2025/07/01 09:57:36	STD2	N,21841250,21836350,21834250
2025/07/01 09:57:36	VOL2	5022,5058,5047,3034,21
2025/07/01 09:57:29	CLN	UP-BY-MC\FR1327,15,1500,0,0,30,1500
2025/07/01 09:56:46	CUTCH	2,146299950,146298472
2025/07/01 09:56:44	ALC	UP-BY-MC\FR1327,304,92,91 CH5=0,89 CH6=0,91 CH7=0,0 CH8=0,OK
2025/07/01 09:56:14	PRO	UP-BY-MC\FR1327,FR1327.BO.Q.N.0.W7,19,58403,50004,0
2025/07/01 09:55:57	CUC	UP-BY-MC\FR1327,106,2824,26,2052,18,OK,762,896,896,A
2025/07/01 09:55:29	CUTCH	1,56340980,56340712
2025/07/01 09:55:16	ST1	N,SDC180,0,2559552,1450518,14699,13530,-6914050,0,30000,OK
2025/07/01 09:55:16	STD1	N,20447800,20445350,20444550
2025/07/01 09:55:16	VOL1	4895,4923,4918,2953,16
2025/07/01 09:55:01	CLN	UP-BY-MC\FR1327,15,1500,0,0,30,1500
2025/07/01 09:54:35	CUTCH	3,146343213,146344767
2025/07/01 09:54:24	CUTCH	2,146336020,146336013
2025/07/01 09:54:12	CUTCH	2,146336020,146335487
2025/07/01 09:54:10	ALC	UP-BY-MC\FR1327,249,94,89 CH5=0,93 CH6=0,93 CH7=0,0 CH8=0,OK
2025/07/01 09:53:45	PRO	UP-BY-MC\FR1327,FR1327.BO.Q.N.0.W7,18,58403,50004,0
2025/07/01 09:53:29	CUC	UP-BY-MC\FR1327,151,2824,26,2052,18,OK,762,896,896,A
2025/07/01 09:53:04	ST2	N,SDC180,0,1387152,3014542,27720,14980,-6852550,0,30000,OK
2025/07/01 09:53:04	STD2	N,21834900,21833350,21832950
2025/07/01 09:53:04	VOL2	4997,4992,4989,2995,5
2025/07/01 09:52:17	CUTCH	1,56445386,56445940
2025/07/01 09:52:05	CUTCH	3,146446992,146448397
2025/07/01 09:51:57	ST1	N,SDC180,0,2561202,1447398,14669,13528,-6914050,0,30000,OK
2025/07/01 09:51:57	STD1	N,20452400,20442600,20442900
2025/07/01 09:51:57	VOL1	4927,4992,4953,2995,39
2025/07/01 09:51:39	CLN	UP-BY-MC\FR1327,15,1500,0,0,30,1500
2025/07/01 09:51:12	CUTCH	2,146448006,146448000
2025/07/01 09:51:00	CUTCH	2,146448006,146445919
2025/07/01 09:50:58	ALC	UP-BY-MC\FR1327,345,94,95 CH5=0,90 CH6=0,95 CH7=0,0 CH8=0,OK
2025/07/01 09:50:23	PRO	UP-BY-MC\FR1327,FR1327.BO.Q.N.0.W7,17,58403,50004,0
2025/07/01 09:50:07	CUC	UP-BY-MC\FR1327,153,2824,26,2052,18,OK,762,896,896,A
2025/07/01 09:49:39	CUTCH	1,56431006,56431070
2025/07/01 09:49:27	CUTCH	3,146431514,146434643
2025/07/01 09:49:13	ST1	N,SDC180,0,2558302,1444278,14639,13531,-6914050,0,30000,OK
2025/07/01 09:49:13	STD1	N,20450950,20446000,20445800
2025/07/01 09:49:13	VOL1	4914,4970,4977,2982,38
2025/07/01 09:48:30	CUTCH	2,146423425,146423420
2025/07/01 09:48:26	ST2	N,SDC180,0,1394402,3011464,27693,14973,-6852550,0,30000,OK
2025/07/01 09:48:26	STD2	N,21829150,21826050,21825700
2025/07/01 09:48:26	VOL2	4984,4989,4986,2993,3
2025/07/01 09:48:15	CLN	UP-BY-MC\FR1327,15,1500,0,0,30,1500
2025/07/01 09:47:36	CUTCH	2,146423425,146423313
2025/07/01 09:47:34	ALC	UP-BY-MC\FR1327,332,91,90 CH5=0,95 CH6=0,94 CH7=0,0 CH8=0,OK
2025/07/01 09:47:01	PRO	UP-BY-MC\FR1327,FR1327.BO.Q.N.0.W7,16,58403,50004,0
2025/07/01 09:46:44	CUC	UP-BY-MC\FR1327,106,2824,26,2052,18,OK,762,896,896,A
2025/07/01 09:46:16	CUTCH	1,56299426,56299481
2025/07/01 09:46:04	CUTCH	3,146300314,146300103
2025/07/01 09:45:53	CUTCH	2,146300656,146300650
2025/07/01 09:45:43	ST1	N,SDC180,0,2560802,1441158,14609,13529,-6914050,0,30000,OK
2025/07/01 09:45:43	STD1	N,20450950,20443550,20443300
2025/07/01 09:45:43	VOL1	4913,4962,4960,2977,30
2025/07/01 09:45:38	CLN	UP-BY-MC\FR1327,15,1500,0,0,30,1500
2025/07/01 09:44:59	CUTCH	2,146300656,146298537
2025/07/01 09:44:58	ALC	UP-BY-MC\FR1327,345,92,89 CH5=0,92 CH6=0,93 CH7=0,0 CH8=0,OK
2025/07/01 09:44:23	PRO	UP-BY-MC\FR1327,FR1327.BO.Q.N.0.W7,15,58403,50004,0
2025/07/01 09:44:07	CUC	UP-BY-MC\FR1327,109,2824,26,2052,18,OK,762,896,896,A
2025/07/01 09:43:42	ST2	N,SDC180,0,1396652,3008386,27666,14970,-6852550,0,30000,OK
2025/07/01 09:43:41	STD2	N,21824050,21824650,21823450
2025/07/01 09:43:41	VOL2	4989,4981,4982,2988,5
2025/07/01 09:42:59	CLN	UP-BY-MC\FR1327,15,1500,0,0,30,1500
2025/07/01 09:42:54	CUTCH	1,56320890,56320821
2025/07/01 09:42:43	CUTCH	3,146321839,146323739
2025/07/01 09:42:31	CUTCH	2,146317663,146317656
2025/07/01 09:42:19	CUTCH	2,146317663,146316636
2025/07/01 09:42:18	ALC	UP-BY-MC\FR1327,335,93,85 CH5=0,92 CH6=0,93 CH7=0,0 CH8=0,OK
2025/07/01 09:41:44	PRO	UP-BY-MC\FR1327,FR1327.BO.Q.N.0.W7,14,58403,50004,0
2025/07/01 09:41:27	CUC	UP-BY-MC\FR1327,147,2824,26,2052,18,OK,762,896,896,A
2025/07/01 09:41:25	ST1	N,SDC180,0,2561152,1438038,14579,13528,-6914050,0,30000,OK
2025/07/01 09:41:25	STD1	N,20448500,20444300,20442950
2025/07/01 09:41:25	VOL1	4920,4953,4943,2971,19
2025/07/01 09:40:19	CUTCH	1,56168595,56168686
2025/07/01 09:40:07	CUTCH	3,146170973,146173127
2025/07/01 09:39:56	CUTCH	2,146160873,146160864
2025/07/01 09:39:51	ST2	N,SDC180,0,1400802,3005308,27639,14966,-6852550,0,30000,OK
